Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCap_March28_M,Revenue,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,CompanyType
368,Yum China Holdings,YUMC,"Hotels, Restaurants & Leisure",Food Services,yes,no,yes,yes,37,no,yes,no,293500,15598.8,"$10,978,000 ",14.7,827,87.1,12031,Joey Wat,U.S.,Plano,Texas,Public
369,Celanese,CE,Chemicals,Chemicals,yes,no,yes,no,27,no,no,no,12410,19173.3,"$10,940,000 ",13.1,1960,3.5,26597,Lori J. Ryerkerk,U.S.,Irving,Texas,Public
370,Qurate Retail,QRTEA,Retailing,Internet Services and Retailing,no,no,no,no,-28,no,no,no,20386,510.9,"$10,915,000 ",-9.8,-145,,11368,David L. Rawlinson II,U.S.,Englewood,Colorado,Public
371,Williams,WMB,Energy,Pipelines,yes,no,no,yes,-1,no,no,no,5601,47482,"$10,907,000 ",-0.5,3179,55.1,52627,Alan S. Armstrong,U.S.,Tulsa,Oklahoma,Public
372,Interpublic Group,IPG,Business Services,"Advertising, marketing",yes,no,no,no,-1,no,no,no,57400,12357.8,"$10,889 ",-0.4,1098.4,17.1,19267.3,Philippe Krakowsky,U.S.,New York,New York,Public
373,Ovintiv,OVV,Energy,"Mining, Crude-Oil Production",yes,no,no,no,-44,no,no,no,1743,13958.7,"$10,883,000 ",-12.7,2085,-42.7,19987,Brendan M. McCracken,U.S.,Denver,Colorado,Public
374,Icahn Enterprises,IEP,Financials,Diversified Financials,no,no,no,no,-80,no,no,no,15038,7297.9,"$10,847,000 ",-23.1,-684,,20858,Andrew  Teno,U.S.,Sunny Isles Beach,Florida,Public
375,Huntington Bancshares,HBAN,Financials,Commercial Banks,yes,no,no,yes,91,no,no,no,19955,20308.6,"$10,837,000 ",36.3,1951,-12.8,189368,Stephen D. Steinour,U.S.,Columbus,Ohio,Public
376,Erie Insurance Group,,Financials,Insurance: Property and Casualty (Mutual),no,no,no,yes,38,no,no,no,6510,,"$10,813 ",16.3,-526.6,,27515.2,Timothy G. NeCastro,U.S.,Erie,Pennsylvania,Private
377,Carvana,CVNA,Retailing,"Automotive Retailing, Services",yes,yes,no,no,-69,no,no,no,13700,16943.7,"$10,771,000 ",-20.8,450,,7071,Ernest C. Garcia III,U.S.,Tempe,Arizona,Public
378,Hess,HES,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,-20,no,no,no,1756,46883.7,"$10,645,000 ",-8,1382,-34.1,24007,John B. Hess,U.S.,New York,New York,Public
